report_date,value
2014/2/1,64287172
2014/2/2,57912761
2014/2/3,84329848
2014/2/4,83653646
2014/2/5,209043990
2014/2/6,227860276
2014/2/7,578818221
2014/2/8,358255468
2014/2/9,341911234
2014/2/10,647465140
2014/2/11,818803205
2014/2/12,763009770
2014/2/13,626698794
2014/2/14,490710434
2014/2/15,255393179
2014/2/16,331324628
2014/2/17,706118060
2014/2/18,593563145
2014/2/19,408367966
2014/2/20,478925191
2014/2/21,353981687
2014/2/22,282022706
2014/2/23,337053711
2014/2/24,656317045
2014/2/25,563505889
2014/2/26,680801145
2014/2/27,672909288
2014/2/28,428721754
2014/3/1,362865580
2014/3/2,276202230
2014/3/3,505305862
2014/3/4,524146340
2014/3/5,454295491
2014/3/6,561787770
2014/3/7,380139779
2014/3/8,243274169
2014/3/9,244752519
2014/3/10,497338076
2014/3/11,430500816
2014/3/12,377007897
2014/3/13,346286910
2014/3/14,315897431
2014/3/15,287407002
2014/3/16,269387391
2014/3/17,339008082
2014/3/18,435479117
2014/3/19,359014064
2014/3/20,365011495
2014/3/21,282351818
2014/3/22,191700135
2014/3/23,167456369
2014/3/24,313180334
2014/3/25,314345006
2014/3/26,272935544
2014/3/27,266231082
2014/3/28,225966355
2014/3/29,160250985
2014/3/30,205533934
2014/3/31,398884905
2014/4/1,453320585
2014/4/2,355347118
2014/4/3,363877120
2014/4/4,251895894
2014/4/5,202336542
2014/4/6,129477254
2014/4/7,196936223
2014/4/8,354770149
2014/4/9,383347565
2014/4/10,386567460
2014/4/11,237829882
2014/4/12,177642053
2014/4/13,208172985
2014/4/14,309853269
2014/4/15,428681231
2014/4/16,387847838
2014/4/17,355792647
2014/4/18,239300383
2014/4/19,268729366
2014/4/20,191259529
2014/4/21,301134667
2014/4/22,285248757
2014/4/23,313677307
2014/4/24,318358891
2014/4/25,220927432
2014/4/26,151625415
2014/4/27,146837951
2014/4/28,324937272
2014/4/29,330607104
2014/4/30,260091330
2014/5/1,193045106
2014/5/2,125336258
2014/5/3,185094488
2014/5/4,303087562
2014/5/5,370924149
2014/5/6,318002728
2014/5/7,417327518
2014/5/8,392838756
2014/5/9,281479009
2014/5/10,287240171
2014/5/11,182424063
2014/5/12,325108597
2014/5/13,275241493
2014/5/14,305474522
2014/5/15,313367089
2014/5/16,231967423
2014/5/17,170983868
2014/5/18,164419642
2014/5/19,259077930
2014/5/20,453955303
2014/5/21,297799722
2014/5/22,344636549
2014/5/23,249546195
2014/5/24,160073254
2014/5/25,166943526
2014/5/26,344890868
2014/5/27,299049555
2014/5/28,276134813
2014/5/29,320549863
2014/5/30,226547701
2014/5/31,146823669
2014/6/1,183489775
2014/6/2,158219402
2014/6/3,270887462
2014/6/4,274460744
2014/6/5,380042567
2014/6/6,301413900
2014/6/7,187801995
2014/6/8,302171269
2014/6/9,366114374
2014/6/10,354031597
2014/6/11,327661453
2014/6/12,332365185
2014/6/13,216923770
2014/6/14,181574530
2014/6/15,166080126
2014/6/16,387308484
2014/6/17,270350693
2014/6/18,335262709
2014/6/19,338609087
2014/6/20,251582530
2014/6/21,177999186
2014/6/22,147180819
2014/6/23,232227670
2014/6/24,245450766
2014/6/25,264663201
2014/6/26,297628039
2014/6/27,264282703
2014/6/28,153826161
2014/6/29,158801540
2014/6/30,334054112
2014/7/1,384428753
2014/7/2,384555819
2014/7/3,297894643
2014/7/4,211649838
2014/7/5,169383796
2014/7/6,199569025
2014/7/7,272182847
2014/7/8,224240103
2014/7/9,278005555
2014/7/10,283095921
2014/7/11,208671021
2014/7/12,177644343
2014/7/13,179759885
2014/7/14,254797524
2014/7/15,334810012
2014/7/16,394890140
2014/7/17,253011280
2014/7/18,208959595
2014/7/19,210318023
2014/7/20,176449304
2014/7/21,378088594
2014/7/22,243084133
2014/7/23,265461894
2014/7/24,277044480
2014/7/25,181641088
2014/7/26,128268053
2014/7/27,151406251
2014/7/28,371762756
2014/7/29,228093046
2014/7/30,209917272
2014/7/31,191728916
